Scholarship Title,Scholarship End Date,Scholarshp Applicable For,Scholarship Rgistration Link,Scholarship Image Link
"SIEMENS Limited Apprenticeship for Engineering and Non-Engineering Students, Puducherry 2022-23",2022-12-02,"Graduates, Diploma holders and Non-Engineering students",https://buddy4study.com/scholarship/siemens-limited-apprenticeship-for-engineering-and-non-engineering-students-puducherry-2022-23,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_23291_1669367307.png
"MICRON Apprenticeship for Graduates/Diploma Holders in E&C, Bangalore 2022-23",2022-12-02,Graduation degree/Diploma holders in Electronics and Communication,https://buddy4study.com/scholarship/micron-apprenticeship-for-graduates-diploma-holders-in-e-c-bangalore-2022-23,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_23301_1669788987.png
U-Go Scholarship Program,2022-12-02,For undergraduate girl students pursuing professional courses,https://buddy4study.com/page/ugo-scholarship-program,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_23178_1665574042.png
NRANSCCL Civil Engineering Internship 2022,2022-12-05,B.E./B.Tech. or equivalent degree holders,https://buddy4study.com/scholarship/nransccl-civil-engineering-internship-2022,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_23271_1668776479.png
NRANSCCL Urban Planning Internship 2022,2022-12-05,B.Arch./M.Arch. degree holders,https://buddy4study.com/scholarship/nransccl-urban-planning-internship-2022,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_23278_1669031021.png
"Reliance SMSL Apprenticeship for Engineering Graduates, Mumbai 2022-23",2022-12-05,Graduates in Engineering discipline,https://buddy4study.com/scholarship/reliance-smsl-apprenticeship-for-engineering-graduates-mumbai-2022-23,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_23303_1669809105.png
NRANSCCL Electrical Engineering Internship 2022,2022-12-05,B.E./B.Tech. or equivalent degree holders,https://buddy4study.com/scholarship/nransccl-electrical-engineering-internship-2022,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_23265_1668764124.png
NRANSCCL Information Technology Internship 2022,2022-12-05,B.E./B.Tech. or equivalent degree holders,https://buddy4study.com/scholarship/nransccl-information-technology-internship-2022,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_23269_1668770817.png
PHED Civil Engineering Internship 2022,2022-12-14,B.E./B.Tech. degree holders,https://buddy4study.com/scholarship/phed-civil-engineering-internship-2022,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_23300_1669719242.png
NHPC Sports Scholarship 2022,2022-12-19,Upcoming sports person,https://buddy4study.com/scholarship/nhpc-sports-scholarship-2022,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_23280_1669106649.png
Credit Suisse Scholarship for MBA and MA (Economics) Students 2022,2022-12-24,First year students pursuing MBA or MA (Economics) program,https://buddy4study.com/page/credit-suisse-scholarship,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_19470_1617284300.jpg
"LeadSquared Sales Development Internship for Engineering Students, Bangalore 2022-23",2022-12-26,B.E./B.Tech. degree holders,https://buddy4study.com/scholarship/leadsquared-sales-development-internship-for-engineering-students-bangalore-2022-23,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_23282_1669100687.png
"CVPPPL Apprenticeship for Technician/Engineering Students, J&K 2022-23",2022-12-30,Engineering Graduates and Technician Diploma holders,https://buddy4study.com/scholarship/cvpppl-apprenticeship-for-technician-engineering-students-j-k-2022-23,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_23247_1667986156.png
Keep India Smiling Foundational Scholarship & Mentorship Programme for Sportsperson 2022-23,2022-12-31,Individual playing sports at state/national/international level,https://buddy4study.com/page/keep-india-smiling-foundational-scholarship-and-mentorship-programme-for-sportsperson-and-individuals,https://s3-ap-southeast-1.amazonaws.com/cdn.buddy4study.com/static/scholarship_logo/logo_17885_1586003938.png
Keep India Smiling Foundational Scholarship & Mentorship Programme for Professional Categories 2022-23,2022-12-31,1st year Engineering/MBBS/BDS Dental students,https://buddy4study.com/page/keep-india-smiling-foundational-scholarship-programme,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_22858_1657519945.jpg
"Trelleborg Apprenticeship Program, Bengaluru 2022-23",2022-12-31,Professional and Non-Professional diploma/degree holders,https://buddy4study.com/scholarship/trelleborg-apprenticeship-program-bengaluru-2022-23,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_23184_1665648308.png
Nurturing Brilliance Cummins Scholarship Program 2022-23,2022-12-31,Students pursuing  professional diploma/degree in Engineering,https://buddy4study.com/scholarship/nurturing-brilliance-cummins-scholarship-program-2022-23,https://s3-ap-southeast-1.amazonaws.com/cdn.buddy4study.com/static/scholarship_logo/logo_10082_Cummins.png
"Anandam Senapathi Scholarship, Kerala 2022",2022-12-31,1st year MBBS/Engineering students,https://buddy4study.com/scholarship/anandam-senapathi-scholarship-kerala-2022,https://s3-ap-southeast-1.amazonaws.com/cdn.buddy4study.com/static/scholarship_logo/logo_8987_edited.png
Amazon Future Engineer Scholarship,2022-12-31,First-year girl students pursuing BE/B.Tech courses in Computer Science Engineering and Information Technology or related branches,https://buddy4study.com/page/amazon-future-engineer-scholarship,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_23246_1668084159.jpg
Foundation For Excellence Scholarship for Technical Courses 2022-23,2022-12-31,"Students enrolled in 1st year of BE/B.Tech, MBBS, 5-year Integrated M.Tech, B.Pharm. & 5-Year Law program",https://buddy4study.com/scholarship/foundation-for-excellence-scholarship-for-technical-courses-2022-23,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_23270_1669640013.png
Nehru Trust's UK Travel Awards 2023,2023-02-15,Established scholars or professionals,https://buddy4study.com/scholarship/nehru-trust-s-uk-travel-awards-2023,https://d2w7l1p59qkl0r.cloudfront.net/static/scholarship_logo/logo_23264_1668764081.png
Education Future International Scholarship - USA & Non-USA 2022,Expired,"Bachelors, Masters",https://www.wemakescholars.com/admin/uploads/providers/LycOT2xdEOJCepf_AJ8Tz4G-aQcl5QOF.png,https://www.wemakescholars.com/scholarship/education-future-international-scholarship
"IU International University Of Applied Science Scholarship, 2022",Expired,"Bachelors, Masters, MBA",https://www.wemakescholars.com/admin/uploads/providers/yA7qR2HyKXXCNxP8vRUuZtdc9Nkw2JQr.jpg,https://www.wemakescholars.com/scholarship/iubh-online-scholarship-initiative
HEST 2023- Higher Education Scholarship Test For Indian Students,Expired,"Bachelors, Masters, Diploma, MBA",https://www.wemakescholars.com/admin/uploads/providers/_xXO3OPmDZt2-jx8kRSUoZI73lCHAfWS.png,https://www.wemakescholars.com/scholarship/hest-2023-higher-education-scholarship-test-for-indian-students
Women In STEM Scholarship Program,45 days,Bachelors,https://www.wemakescholars.com/admin/uploads/providers/_Pvg9f-jBiMNf0a5_sDJrqc3fiqSgf-C.png,https://www.wemakescholars.com/scholarship/women-in-stem-scholarship-program
ICSP Scholarships At University Of Oregon,78 days,"Bachelors, Masters",https://www.wemakescholars.com/admin/uploads/providers/ncvuq3vZm5fQwdrqukUt6Igdy9nRMzAR.png,https://www.wemakescholars.com/scholarship/icsp-scholarships-at-university-of-oregon
Monash University Finance Honours Grant,"Deadline
varies",Bachelors,https://www.wemakescholars.com/admin/uploads/providers/3-NAHJWKQCGHGZzyKWrtWK2aRf6J-t8U.png,https://www.wemakescholars.com/scholarship/monash-university-finance-honours-scholarship
Sogang University Admission Scholarships,"Deadline
varies",Bachelors,https://www.wemakescholars.com/admin/uploads/providers/V0y_fkj137pQCJ3pXHJzl8elIZRkdME2.png,https://www.wemakescholars.com/scholarship/sogang-university-admission-scholarships
Kathford International College Of Engineering And Management Scholarships,Open,Bachelors,https://www.wemakescholars.com/admin/uploads/providers/ay_Bey3HMV2lw2j_xQQk_zdI2GSBxvvp.jpg,https://www.wemakescholars.com/scholarship/kathford-international-college-of-engineering-and-management-scholarships
QUT School Of Accountancy Honours Scholarship,61 days,Bachelors,https://www.wemakescholars.com/admin/uploads/providers/534.jpg,https://www.wemakescholars.com/scholarship/school-of-accountancy-honours-scholarship
Monash University Ian Little Honours Scholarship,"Deadline
varies",Bachelors,https://www.wemakescholars.com/admin/uploads/providers/3-NAHJWKQCGHGZzyKWrtWK2aRf6J-t8U.png,https://www.wemakescholars.com/scholarship/monash-university-ian-little-honours-scholarship
AAR Aircraft Service Award For Students 2022,Open,Bachelors,https://www.wemakescholars.com/admin/uploads/providers/vjC0xFvptChNsg2oasRbaXQxi8psgyHB.png,https://www.wemakescholars.com/scholarship/aar-aircraft-service-award-for-international-students
The Deutschlandstipendium At German Universities 2022,"Deadline
varies","Bachelors, Masters",https://www.wemakescholars.com/admin/uploads/providers/870.jpg,https://www.wemakescholars.com/scholarship/the-deutschlandstipendium-at-german-universities
MRS Queer Leadership Scholarship,61 days,"Bachelors, Masters",https://www.wemakescholars.com/admin/uploads/providers/3-NAHJWKQCGHGZzyKWrtWK2aRf6J-t8U.png,https://www.wemakescholars.com/scholarship/mrs-queer-leadership-scholarship
Tongarewa Scholarship At Victoria University Of Wellington,182 days,"Bachelors, Masters",https://www.wemakescholars.com/admin/uploads/providers/YNf1vmahew_rr0tMwApxehBFnzkMn-XY.png,https://www.wemakescholars.com/scholarship/tongarewa-scholarship-at-victoria-university-of-wellington
International College Dundee Progressing With Excellence Scholarship,46 days,Bachelors,https://www.wemakescholars.com/admin/uploads/providers/icUC2V3N5VB9Qn5gQapmRmtlOVBErjr4.png,https://www.wemakescholars.com/scholarship/international-college-dundee-progressing-with-excellence-scholarship
Discover Business At Dundee Scholarship 2023,32 days,"Bachelors, Masters",https://www.wemakescholars.com/admin/uploads/providers/icUC2V3N5VB9Qn5gQapmRmtlOVBErjr4.png,https://www.wemakescholars.com/scholarship/discover-business-at-dundee-scholarship-2023
Stanley Liebich Memorial Scholarship,120 days,Bachelors,https://www.wemakescholars.com/admin/uploads/providers/205.png,https://www.wemakescholars.com/scholarship/stanley-liebich-memorial-scholarship
RMIT International Merit Scholarships 2022,8 days,"Bachelors, Masters",https://www.wemakescholars.com/admin/uploads/providers/cvtFjbBbYRUTqvHvF62idlXLwbnplmgk.png,https://www.wemakescholars.com/scholarship/rmit-international-merit-scholarships
Swinburne University Of Technology-Greig Connell Memorial Scholarship,120 days,Bachelors,https://www.wemakescholars.com/admin/uploads/providers/205.png,https://www.wemakescholars.com/scholarship/swinburne-university-of-technology-greig-connell-memorial-scholarship
University Of Wisconsin Scholarships For Incoming Students,Expired,Bachelors,https://www.wemakescholars.com/admin/uploads/providers/aMnTsDBWZziXUOiA2zdQeYDOSJACi8F4.png,https://www.wemakescholars.com/scholarship/university-of-wisconsin-scholarships-for-incoming-students
